"GEO_ID","NAME","B19113_001E","B19113_001M","B19113_001MA","B19113_001EA",
"0500000US02275","Wrangell City and Borough, Alaska","67976","10074","null","null",
"0500000US02282","Yakutat City and Borough, Alaska","58571","20836","null","null",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","53750","4927","null","null",
"0500000US04001","Apache County, Arizona","41575","1956","null","null",
"0500000US04003","Cochise County, Arizona","64128","2019","null","null",
"0500000US04005","Coconino County, Arizona","74357","3260","null","null",
"0500000US04007","Gila County, Arizona","53981","2733","null","null",
"0500000US04009","Graham County, Arizona","62004","3153","null","null",
"0500000US04011","Greenlee County, Arizona","66543","2595","null","null",
"0500000US04012","La Paz County, Arizona","45110","4164","null","null",
"0500000US04013","Maricopa County, Arizona","80161","621","null","null",
"0500000US04015","Mohave County, Arizona","57058","1336","null","null",
"0500000US04017","Navajo County, Arizona","50254","2436","null","null",
"0500000US04019","Pima County, Arizona","69466","1218","null","null",
"0500000US04021","Pinal County, Arizona","69494","1820","null","null",
"0500000US04023","Santa Cruz County, Arizona","50578","2089","null","null",
"0500000US04025","Yavapai County, Arizona","66999","1895","null","null",
"0500000US04027","Yuma County, Arizona","54897","1983","null","null",
"0500000US05001","Arkansas County, Arkansas","61807","3757","null","null",
"0500000US05003","Ashley County, Arkansas","56504","4783","null","null",
"0500000US05005","Baxter County, Arkansas","52342","2677","null","null",
"0500000US05007","Benton County, Arkansas","83240","2517","null","null",
"0500000US05009","Boone County, Arkansas","58692","5024","null","null",
"0500000US05011","Bradley County, Arkansas","55286","4224","null","null",
"0500000US05013","Calhoun County, Arkansas","60192","7523","null","null",
"0500000US05015","Carroll County, Arkansas","61729","3115","null","null",
"0500000US05017","Chicot County, Arkansas","41502","3631","null","null",
"0500000US05019","Clark County, Arkansas","57770","2771","null","null",
"0500000US05021","Clay County, Arkansas","47599","3947","null","null",
"0500000US05023","Cleburne County, Arkansas","56351","3441","null","null",
"0500000US05025","Cleveland County, Arkansas","59964","10842","null","null",
"0500000US05027","Columbia County, Arkansas","47754","6231","null","null",
